******************************
{'exp_id': 'default', 'model': {'slope': 25, 'beta': 0.5}, 'data': {'root': './data', 'subset': 1, 'num_workers': 32}, 'train': {'batch_size': 1024, 'num_steps': 50, 'num_epochs': 20, 'lr': 0.01, 'lr_step': [10, 15], 'lr_factor': 0.1}}
******************************
############# Starting Epoch 0 | LR: 0.01 #############
Epoch 0 | Train loss: 1.6738241910934448
Epoch 0 | Test acc: 0.9672
############# Starting Epoch 1 | LR: 0.01 #############
Epoch 1 | Train loss: 1.4947752952575684
Epoch 1 | Test acc: 0.9817
############# Starting Epoch 2 | LR: 0.01 #############
Epoch 2 | Train loss: 1.4840238094329834
Epoch 2 | Test acc: 0.9846
############# Starting Epoch 3 | LR: 0.01 #############
Epoch 3 | Train loss: 1.4797662496566772
Epoch 3 | Test acc: 0.9839
############# Starting Epoch 4 | LR: 0.01 #############
Epoch 4 | Train loss: 1.476882815361023
Epoch 4 | Test acc: 0.9862
############# Starting Epoch 5 | LR: 0.01 #############
Epoch 5 | Train loss: 1.475311040878296
Epoch 5 | Test acc: 0.9887
############# Starting Epoch 6 | LR: 0.01 #############
Epoch 6 | Train loss: 1.4739198684692383
Epoch 6 | Test acc: 0.988
############# Starting Epoch 7 | LR: 0.01 #############
Epoch 7 | Train loss: 1.4725602865219116
Epoch 7 | Test acc: 0.9895
############# Starting Epoch 8 | LR: 0.01 #############
Epoch 8 | Train loss: 1.4716637134552002
Epoch 8 | Test acc: 0.9875
############# Starting Epoch 9 | LR: 0.01 #############
Epoch 9 | Train loss: 1.4710966348648071
Epoch 9 | Test acc: 0.9896
############# Starting Epoch 10 | LR: 0.001 #############
Epoch 10 | Train loss: 1.4688793420791626
Epoch 10 | Test acc: 0.9906
############# Starting Epoch 11 | LR: 0.001 #############
Epoch 11 | Train loss: 1.4681963920593262
Epoch 11 | Test acc: 0.9912
############# Starting Epoch 12 | LR: 0.001 #############
Epoch 12 | Train loss: 1.467808723449707
Epoch 12 | Test acc: 0.9911
############# Starting Epoch 13 | LR: 0.001 #############
Epoch 13 | Train loss: 1.4676486253738403
Epoch 13 | Test acc: 0.9911
############# Starting Epoch 14 | LR: 0.001 #############
Epoch 14 | Train loss: 1.467488169670105
Epoch 14 | Test acc: 0.9911
############# Starting Epoch 15 | LR: 0.0001 #############
Epoch 15 | Train loss: 1.4672154188156128
Epoch 15 | Test acc: 0.9915
############# Starting Epoch 16 | LR: 0.0001 #############
Epoch 16 | Train loss: 1.4672225713729858
Epoch 16 | Test acc: 0.9915
############# Starting Epoch 17 | LR: 0.0001 #############
Epoch 17 | Train loss: 1.467185616493225
Epoch 17 | Test acc: 0.9909
############# Starting Epoch 18 | LR: 0.0001 #############
Epoch 18 | Train loss: 1.4671369791030884
Epoch 18 | Test acc: 0.9914
############# Starting Epoch 19 | LR: 0.0001 #############
Epoch 19 | Train loss: 1.4671047925949097
Epoch 19 | Test acc: 0.9912
