******************************
{'exp_id': 'default', 'model': {'slope': 25, 'beta': 0.5}, 'data': {'root': './data', 'subset': 10}, 'train': {'batch_size': 128, 'num_epochs': 45, 'num_steps': 50, 'lr': 0.01, 'lr_step': [15, 30], 'lr_factor': 0.1}}
******************************
############# Starting Epoch 0 | LR: 0.01 #############
Epoch 0 | Train loss: 1.7262709140777588
Epoch 0 | Test acc: 0.9017857142857143
############# Starting Epoch 1 | LR: 0.01 #############
Epoch 1 | Train loss: 1.5277055501937866
Epoch 1 | Test acc: 0.9453125
############# Starting Epoch 2 | LR: 0.01 #############
Epoch 2 | Train loss: 1.5079371929168701
Epoch 2 | Test acc: 0.9553571428571429
############# Starting Epoch 3 | LR: 0.01 #############
Epoch 3 | Train loss: 1.4919874668121338
Epoch 3 | Test acc: 0.9631696428571429
############# Starting Epoch 4 | LR: 0.01 #############
Epoch 4 | Train loss: 1.4877004623413086
Epoch 4 | Test acc: 0.9665178571428571
############# Starting Epoch 5 | LR: 0.01 #############
Epoch 5 | Train loss: 1.485114574432373
Epoch 5 | Test acc: 0.9620535714285714
############# Starting Epoch 6 | LR: 0.01 #############
Epoch 6 | Train loss: 1.4818626642227173
Epoch 6 | Test acc: 0.9732142857142857
############# Starting Epoch 7 | LR: 0.01 #############
Epoch 7 | Train loss: 1.479967713356018
Epoch 7 | Test acc: 0.9709821428571429
############# Starting Epoch 8 | LR: 0.01 #############
Epoch 8 | Train loss: 1.4765433073043823
Epoch 8 | Test acc: 0.9743303571428571
############# Starting Epoch 9 | LR: 0.01 #############
Epoch 9 | Train loss: 1.4740467071533203
Epoch 9 | Test acc: 0.9743303571428571
############# Starting Epoch 10 | LR: 0.01 #############
Epoch 10 | Train loss: 1.473554015159607
Epoch 10 | Test acc: 0.9799107142857143
############# Starting Epoch 11 | LR: 0.01 #############
Epoch 11 | Train loss: 1.4721957445144653
Epoch 11 | Test acc: 0.9732142857142857
############# Starting Epoch 12 | LR: 0.01 #############
Epoch 12 | Train loss: 1.4722602367401123
Epoch 12 | Test acc: 0.9732142857142857
